t,x,y,s,d,yaw, speed
290,1146.35,1184.66,370.191,5.89649,4.09405,49.4507
291,1147.67,1184.76,371.517,5.90182,4.03078,49.437
292,1148.99,1184.85,372.842,5.91009,3.96313,49.4295
293,1150.31,1184.94,374.168,5.91855,3.89201,49.4286
294,1151.64,1185.03,375.494,5.92994,3.76555,49.4213
295,1153.4,1185.14,377.262,5.94877,3.76504,49.4349
296,1154.72,1185.23,378.587,5.96405,3.63856,49.4288
297,1156.05,1185.31,379.913,5.9814,3.56741,49.4211
298,1157.81,1185.42,381.68,6.00522,3.44135,49.4211
299,1159.13,1185.5,383.006,6.02666,3.37387,49.5236
300,1160.46,1185.58,384.332,6.05004,3.37386,49.5236
301,1162.22,1185.68,386.273,6.03269,3.3064,49.4146
302,1163.99,1185.78,388.042,6.01703,3.17629,49.5113
303,1165.31,1185.85,389.368,6.00553,3.1842,49.5113
304,1166.64,1185.93,390.694,5.99404,3.18463,49.4976
305,1168.4,1186.03,392.462,5.97833,3.25146,49.3946
306,1170.17,1186.12,394.229,5.96263,3.18463,49.3946
307,1171.49,1186.2,395.555,5.95113,3.18462,49.3946
308,1173.26,1186.29,397.324,5.9395,3.05022,49.5047
309,1175.02,1186.39,399.091,5.92769,3.0536,49.3886
310,1176.35,1186.46,400.417,5.92217,2.91577,49.4992
311,1178.11,1186.55,402.185,5.91451,2.85564,49.3901
312,1179.44,1186.61,403.51,5.91192,2.78883,49.3848
313,1181.64,1186.72,405.721,5.90819,2.72591,49.4939
314,1182.97,1186.78,407.052,5.90703,2.73345,49.4945
315,1184.73,1186.87,408.82,5.90685,2.59895,49.4888
316,1186.5,1186.95,410.587,5.9085,2.59103,49.4888
317,1188.27,1187.03,412.355,5.91027,2.59895,49.3797
318,1189.59,1187.09,413.681,5.91153,2.5914,49.3661
319,1191.36,1187.17,415.449,5.91331,2.5993,49.3797
320,1193.12,1187.25,417.217,5.91508,2.5993,49.3797
321,1194.89,1187.33,418.986,5.91677,2.59103,49.4888
322,1196.21,1187.39,420.311,5.91811,2.59895,49.3797
323,1197.98,1187.47,422.079,5.91988,2.59103,49.3791
324,1199.75,1187.55,423.848,5.92157,2.5993,49.4752
325,1201.51,1187.63,425.616,5.92334,2.5993,49.4752
